Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours,petroleum liquids thousand megawatthours,petroleum coke thousand megawatthours,other gases thousand megawatthours,all utility-scale solar thousand megawatthours,geothermal thousand megawatthours,biomass thousand megawatthours,wood and wood-derived fuels thousand megawatthours,other biomass thousand megawatthours,hydro-electric pumped storage thousand megawatthours,other thousand megawatthours,small-scale solar photovoltaic thousand megawatthours
Aug 2015,392241.71845,134670.3089,139215.8854,72415.352,19122.10511,13080.02756,4155.60157,1092.74186,1040.46485,1195.57794,2687.55324,1344.14271,5709.66874,3788.24122,1921.42752,-625.878,1293.76814,1468.04833
Jul 2015,400534.56759,139099.86855,141241.24634,71412.176,21014.22144,13675.44937,4113.74514,1200.80032,1103.37931,1235.44328,2627.06355,1356.72712,5795.25661,3806.47852,1988.77809,-513.417,1286.35271,1486.68159
Jun 2015,362493.0664,125673.11366,121567.81122,68516.165,20414.084,13421.26619,3965.61172,1039.98424,820.51271,1117.6088,2557.5982,1301.60767,5280.18087,3496.10312,1784.07775,-397.811,1180.94484,1408.01352
May 2015,322189.10137,104584.52668,101624.6975,65826.525,20125.4156,17151.34131,3897.98556,1017.19831,921.57624,1098.72535,2504.14881,1390.15094,5136.56389,3337.80784,1798.75605,-370.209,1178.44074,1393.83675
Apr 2015,294177.18729,88989.1425,92855.54624,59784.495,22470.97723,17867.14921,3642.64641,918.52707,809.15508,979.33349,2379.11811,1272.42782,4975.66122,3246.40512,1729.2561,-214.411,1090.06534,1263.5283
Mar 2015,324313.51714,108487.53856,99550.14498,64546.799,24280.90476,15307.92894,3205.83426,1061.37309,717.11809,1090.60128,2072.25703,1393.99435,5169.12747,3456.8391,1712.28837,-409.305,1045.03457,1133.57723
Feb 2015,334595.61098,126976.83198,91440.16871,63461.493,22286.07601,14921.54534,2299.31836,5220.63559,1099.98573,1024.97999,1483.55386,1260.09914,4896.11784,3371.94187,1524.17597,-456.06,980.18381,815.7645
Jan 2015,360452.84324,132450.52066,101690.97336,74269.974,24138.3839,15162.14633,1901.79647,1927.3721,1045.59461,1246.34298,1155.35063,1361.91486,5441.6381,3716.86817,1724.76993,-551.05,1113.68171,746.44584
Dec 2014,337952.98061,124620.11616,91040.2099,73362.548,22328.78862,14711.24947,1797.81256,946.64528,1148.52065,1152.96969,1031.74441,1374.99931,5503.46543,3736.56465,1766.90078,-479.861,1211.58471,766.06815
Nov 2014,317491.36447,119127.43937,84355.8568,65140.185,18624.92296,18866.92881,2171.44148,963.23459,774.81392,1073.45459,1379.63993,1362.46919,5198.43712,3507.91896,1690.51816,-531.042,1155.02421,791.80155
